,gameId,season,role,lane,accountId
4,4258610159,13,DUO_CARRY,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
5,4257772969,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
6,4257605789,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
7,4257513560,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
8,4255795289,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
9,4255761502,13,DUO_SUPPORT,NONE,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
10,4255663162,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
11,4255601634,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
12,4255379515,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
13,4255228631,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
14,4252707261,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
15,4251918236,13,DUO_SUPPORT,NONE,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
16,4249716387,13,DUO_SUPPORT,NONE,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
